Lambda,h=0,h=10,h=25,h=40,Bonus 10,Bonus 25,Bonus 40
,,0.00015759,0.000126973,0.000125651,,,
,,0.00015968,0.000127307,0.000126797,,,
,,0.000162941,0.000126799,0.000126678,,,
,,0.000162221,0.000127994,0.000126809,,,
,,0.000162036,0.000127313,0.000128042,,,
,,0.000163677,0.000126835,0.000127612,,,
,,0.000164867,0.000129706,0.000128592,,,
,,0.000165011,0.000130066,0.000128628,,,
,,0.000167347,0.000129513,0.000128931,,,
,,0.000165603,0.000129644,0.000130056,,,
,,0.000165981,0.000131457,0.000131364,,,
,,0.000168625,0.000131031,0.000131462,,,
,,0.000172675,0.000133165,0.000131947,,,
,,0.000170758,0.000131886,0.000133071,,,
,,0.000172198,0.000133805,0.000130855,,,
,,0.000172914,0.000132989,0.000133893,,,
,,0.000174725,0.000135976,0.000133692,,,
,,0.00017399,0.00013496,0.000134772,,,
,,0.000176129,0.000135853,0.000135998,,,
,,0.000180119,0.000136283,0.00013614,,,
,,0.00018147,0.000134822,0.000137133,,,
,,0.000185513,0.000137005,0.00013679,,,
,,0.000182728,0.000136752,0.000136684,,,
,,0.000186054,0.000138484,0.000138505,,,
,,0.000187585,0.00013777,0.000139408,,,
,,0.000191043,0.000138883,0.000140447,,,
,,0.000190994,0.000138949,0.000139231,,,
,,0.000191917,0.000140558,0.00014,,,
,,0.000195437,0.000141171,0.000140828,,,
,,0.000195591,0.000141258,0.000143781,,,
,,0.000196017,0.000143414,0.000144412,,,
,,0.000196646,0.000144732,0.000142008,,,
,,0.000202496,0.000143466,0.000144096,,,
,,0.000205741,0.000142594,0.000144855,,,
,,0.000207125,0.000145753,0.000145367,,,
,,0.000206492,0.000145266,0.000145838,,,
,,0.000209984,0.000146789,0.000145523,,,
,,0.000207499,0.000146595,0.000149703,,,
,,0.000217335,0.000148484,0.000148205,,,
,,0.000218265,0.000150568,0.000148057,,,
,,0.000219303,0.000148855,0.000151092,,,
,,0.000219572,0.000149929,0.000151317,,,
,,0.000230446,0.000151675,0.000150562,,,
,,0.000231874,0.000154579,0.000155126,,,
,,0.00023803,0.000153757,0.000154608,,,
,,0.00023285,0.000157269,0.000154779,,,
,,0.000228339,0.000154261,0.000158658,,,
,,0.00023264,0.000157655,0.000162037,,,
,,0.000247417,0.0001609,0.000159525,,,
,,0.000246599,0.000161097,0.000159981,,,
,,0.000253299,0.000158898,0.000161781,,,
,,0.00026094,0.000160273,0.000163688,,,
,,0.000267035,0.000158761,0.000164661,,,
,,0.000270654,0.000163312,0.000164139,,,
,,0.000273371,0.000166839,0.000164785,,,
