Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time
201,250,108567,8386,16671,16581,25222,24942,16765,0.009669521583592,0.006291138264051,0.005348104879078,0.004493537229403,0.004434750701628,0.004384257023561,0.005269508395737
211,250,107868,8340,16438,16602,24766,24860,16862,0.010109221702638,0.00636344232875,0.005405488073726,0.004566245942017,0.004469543724859,0.004375745107342,0.005345787490266
221,250,108189,8332,16560,16835,24823,24783,16856,0.010270068771003,0.006633335748792,0.005450460766261,0.004567388631511,0.004573943388613,0.004414766670622,0.005437931712096
231,250,108291,8462,16366,16707,25089,25097,16570,0.010901563696526,0.006845147256507,0.005621625965164,0.004650023675714,0.004560371518508,0.00445612015691,0.005569726163762
241,250,108917,8355,16646,16963,25365,24862,16726,0.011494714422502,0.006957966898955,0.005759349230679,0.004698123713779,0.004645870967742,0.004480347662322,0.005684772294499
251,250,108777,8412,16870,16714,24761,25211,16809,0.01194180551593,0.007258945465323,0.005861143173388,0.004803882678406,0.004649962913014,0.004580128919031,0.005828829311343
261,250,108552,8182,16628,16860,25250,25168,16464,0.012438389513566,0.007346735566514,0.005941693594306,0.004731096554455,0.004673622457088,0.004549587645773,0.005859861679195
271,250,107882,8235,16480,16704,24859,24999,16605,0.012943061566485,0.007867711711165,0.006095696659483,0.004895139185003,0.004777027881115,0.00463833453779,0.006082546189355
281,250,107898,8368,16824,16609,24762,24807,16528,0.014083866395794,0.008281110140276,0.006285246613282,0.004989515992246,0.004871289877857,0.004632285273475,0.006325619992956
291,250,107849,8395,16691,16633,24705,24830,16595,0.014368774746873,0.00834494146546,0.006462250105213,0.004984382999393,0.004842295328232,0.004666386803254,0.006381236284064
301,250,108588,8317,16812,16640,25012,25100,16707,0.015256057713118,0.008731522364977,0.006624917427885,0.005059365784423,0.004909325099602,0.004686675585084,0.006556772553137
311,250,108354,8334,16588,16678,25207,24957,16590,0.015617293736501,0.008965108451893,0.00674168479434,0.005135315388583,0.004973045117602,0.004754420433996,0.006679398831608
321,250,108206,8232,16924,16658,25104,24800,16488,0.017510400510204,0.009733584081777,0.007252951254652,0.005360098749203,0.005123656653226,0.004868315926735,0.00713076773007
331,250,107813,8230,16735,16624,24802,24833,16589,0.017458575334143,0.00975120442187,0.007134532182387,0.005260120030643,0.005102365884106,0.004903299354994,0.007086198566036
341,250,107435,8200,16633,16368,24827,24872,16535,0.019008166585366,0.010413162868995,0.007537154569892,0.005434412615298,0.00517878413477,0.004835468581796,0.007410235063061
351,250,107898,8232,16565,16604,24989,24972,16536,0.019913854956268,0.010700310715364,0.007617492050108,0.005408614190244,0.005234028551978,0.004948508647799,0.007556682227659
361,250,108131,8384,16442,16734,25107,24568,16896,0.021140276001908,0.011300424279285,0.007969054559579,0.005678824272115,0.005397636803973,0.005113131451231,0.00793458545653
