Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
5000,1001719,1001719,9.874173262707696e-05,0.005315862033164989,9.874173262707696e-05,0.005315862033164989,
5500,999764,999764,9.904155151099847e-05,0.005285247318367135,9.904155151099847e-05,0.005285247318367135,
6000,999215,999215,9.939376828083882e-05,0.005284148056224136,9.939376828083882e-05,0.005284148056224136,
6500,1000180,1000180,9.990394109279065e-05,0.005348037353276411,9.990394109279065e-05,0.005348037353276411,
7000,999578,999578,0.00010029781615238425,0.005287231211571283,0.00010029781615238426,0.005287231211571283,
7500,1001502,1001502,0.00010065420469239246,0.0054098743686982155,0.00010065420469239246,0.0054098743686982155,
30000,998905,998905,0.0003372073088229574,0.018121843418543306,0.0003372073088229574,0.018121843418543306,
30100,1000041,1000041,0.0003484399565677231,0.01885122709968891,0.0003484399565677231,0.01885122709968891,
30200,999822,999822,0.000360417412579643,0.019470465742902236,0.00036041741257964306,0.019470465742902236,
30300,1001034,1001034,0.00038428324948139607,0.02061967925165379,0.00038428324948139607,0.02061967925165379,
30400,998763,998763,0.0003818246595862511,0.020748666099965656,0.0003818246595862511,0.020748666099965656,
30500,1000061,1000061,0.00041264724018901764,0.022678616604387133,0.00041264724018901764,0.022678616604387133,
30600,999856,999856,0.0004105071736573455,0.022225200428861756,0.0004105071736573455,0.022225200428861756,
30700,999648,999648,0.00044978018285846073,0.024731705560357246,0.0004497801828584607,0.024731705560357246,
30800,1000663,1000663,0.00047494696099612167,0.02608070849027095,0.00047494696099612167,0.02608070849027095,
30900,999209,999209,0.00047915363496237035,0.026165697066379508,0.00047915363496237035,0.026165697066379508,
31000,1000831,1000831,0.0005303033065173531,0.028922965016071646,0.000530303306517353,0.028922965016071646,
31100,1000888,1000888,0.0005431490662376948,0.02959272166316311,0.0005431490662376948,0.02959272166316311,
31200,1001106,1001106,0.0005799701861024801,0.031793836017364796,0.00057997018610248,0.031793836017364796,
31300,999702,999702,0.0005985531445275308,0.03291480861296667,0.0005985531445275308,0.03291480861296667,
31400,998398,998398,0.0006621113291138698,0.03663168395770024,0.0006621113291138698,0.03663168395770024,
31500,1002540,1002540,0.00074831048917019,0.041451712649869334,0.0007483104891701901,0.041451712649869334,
31600,998671,998671,0.000764842628185719,0.0418616341117345,0.000764842628185719,0.0418616341117345,
31700,1001283,1001283,0.000902873650047819,0.05028348628709366,0.000902873650047819,0.05028348628709366,
31800,1001092,1001092,0.001016718611299676,0.05734238211872635,0.001016718611299676,0.05734238211872635,
31900,999907,999907,0.0010415862648180969,0.05859544937679204,0.0010415862648180969,0.05859544937679204,
32000,1000948,1000948,0.001324274693291815,0.07588705906800353,0.001324274693291815,0.07588705906800353,
32100,998602,998602,0.0013931262094445788,0.08038938435933435,0.0013931262094445788,0.08038938435933435,
32200,999782,999782,0.0017335397838219725,0.10203924455531306,0.0017335397838219725,0.10203924455531306,
32300,1000021,1000021,0.002787606242918848,0.17629929771474798,0.002787606242918848,0.17629929771474798,
32400,1000465,1000465,0.0034831187879330585,0.23364535490996688,0.0034831187879330585,0.23364535490996688,
32500,998501,998501,0.003913530291744775,0.2703041859747762,0.003913530291744775,0.2703041859747762,
32600,999700,999700,0.0025675090036831895,0.8192737821346404,0.0025675090036831895,0.8192737821346404,
32710,1000636,1000636,0.0016750035411316605,0.9107657529811041,0.0016750035411316605,0.9107657529811041,
32720,1000622,1000622,0.001537217276627364,0.9237774104506996,0.001537217276627364,0.9237774104506996,
32730,1000529,1000529,0.000793399308638313,0.9494927183519918,0.0007933993086383131,0.9494927183519918,
32740,1000297,1000297,0.0016134534843641381,0.9142114791906804,0.001613453484364138,0.9142114791906804,
32750,1001516,1001516,0.0014866561985184168,0.9410653449370754,0.0014866561985184168,0.9410653449370754,
32760,1000129,1000129,0.0011185430124545656,0.944470163348928,0.0011185430124545656,0.944470163348928,
32770,1000705,1000705,0.0010509651941659564,0.9446400287797103,0.0010509651941659566,0.9446400287797103,
32780,999345,999345,0.0016232486085408443,0.9259124726695986,0.0016232486085408441,0.9259124726695986,
32790,999053,999053,0.0019862299990898607,0.8938434697658683,0.0019862299990898607,0.8938434697658683,
