Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate
8000,999704,999704,0.000396061304101,0.021434344565992,0.000396061304101,0.021434344565992
8100,1000155,1000155,0.000402295014677,0.021908604166354,0.000402295014677,0.021908604166354
8200,1001449,1001449,0.000408897858247,0.022278718137419,0.000408897858247,0.022278718137419
8300,998471,998471,0.000413034817443,0.022285073877959,0.000413034817443,0.022285073877959
8400,999953,999953,0.000419881912209,0.022853074094483,0.000419881912209,0.022853074094483
8500,998957,998957,0.000426178128429,0.023342346066948,0.000426178128429,0.023342346066948
8600,998751,998751,0.000439991021303,0.023652542024989,0.000439991021303,0.023652542024989
8700,1000509,1000509,0.0004500061862,0.024338611646672,0.0004500061862,0.024338611646672
8800,1000779,1000779,0.000453256135207,0.024770703621879,0.000453256135207,0.024770703621879
8900,1000363,1000363,0.000467391848904,0.025239837938828,0.000467391848904,0.025239837938828
9000,1000098,1000098,0.000478629291846,0.026218430593802,0.000478629291846,0.026218430593802
9100,1001420,1001420,0.000485333862002,0.026303648818678,0.000485333862002,0.026303648818678
9200,1000211,1000211,0.000502857739179,0.027403217921019,0.000502857739179,0.027403217921019
9300,999250,999250,0.000507194283965,0.027439579684764,0.000507194283965,0.027439579684764
9400,999451,999451,0.000529439551485,0.02888185613902,0.000529439551485,0.02888185613902
9500,999535,999535,0.000540628901036,0.029721820646601,0.000540628901036,0.029721820646601
9600,1000726,1000726,0.000560605630357,0.030695714910975,0.000560605630357,0.030695714910975
9700,1000413,1000413,0.000584650639723,0.031980791932932,0.000584650639723,0.031980791932932
9800,998899,998899,0.000603021512605,0.033286648600109,0.000603021512605,0.033286648600109
9900,1000585,1000585,0.000633008903227,0.034784650979177,0.000633008903227,0.034784650979177
10000,999249,999249,0.000645031645111,0.035473640704169,0.000645031645111,0.035473640704169
10100,999217,999217,0.000677253629283,0.036932918475166,0.000677253629283,0.036932918475166
10200,999036,999036,0.000712690487393,0.039480058776661,0.000712690487393,0.039480058776661
10300,999059,999059,0.000757092518277,0.04178732186988,0.000757092518277,0.04178732186988
10400,999482,999482,0.000789555915306,0.043357459163847,0.000789555915306,0.043357459163847
10500,1000706,1000706,0.000867281233232,0.048519745059988,0.000867281233232,0.048519745059988
10600,998829,998829,0.000918766204741,0.051358140382388,0.000918766204741,0.051358140382388
10700,999773,999773,0.001022227860405,0.057475046835632,0.001022227860405,0.057475046835632
10800,999741,999741,0.00108212172632,0.061053812937551,0.00108212172632,0.061053812937551
10900,1000744,1000744,0.00123394607795,0.070303694051626,0.00123394607795,0.070303694051626
11000,1001828,1001828,0.001448973885875,0.083997452656544,0.001448973885875,0.083997452656544
11100,999055,999055,0.001556202689253,0.09040243029663,0.001556202689253,0.09040243029663
11200,999974,999974,0.001933303775772,0.115727008902231,0.001933303775772,0.115727008902231
11300,1000164,1000164,0.002489139446535,0.157622149967405,0.002489139446535,0.157622149967405
11400,1000842,1000842,0.003666549586759,0.269731885752197,0.003666549586759,0.269731885752197
11500,998601,998601,0.004667287488466,0.395298021932684,0.004667287488466,0.395298021932684
