Lambda,Mu,Generated Packets,Valid LP,Dropped LP,Valid HP,Dropped HP,Avg LP Wait,Avg HP Wait,Avg Total Wait,
10000000,250,5702298,1,5465966,2284,234047,2.9761904761904762e-05,0.050351656923248174,0.02519070941400504,
1000000,250,1022170,3,821446,2521,198200,0.00012235449735449735,0.05076950598779786,0.025445930242576176,
9000000,250,4282358,1,4053932,2257,226168,5.9523809523809524e-05,0.04998203866278469,0.025020781236154248,
100000,250,999727,5827,793518,200382,0,0.33211762206450096,0.00018143696044519044,0.16614952951247308,
50000,250,999906,20849,779000,200057,0,0.3453131989212691,0.00012216287838049303,0.1727176808998248,
25000,250,999186,799644,0,199542,0,0.0003657991380046909,0.00010664390597185666,0.00023622152198827379,
30000,250,1001300,362713,438294,200293,0,0.3244676580738732,0.00011148817696025076,0.16228957312541673,
27500,250,999873,800168,0,199705,0,0.000884462262176524,0.00010949276682870061,0.0004969775145026123,
27600,250,1001005,800661,0,200344,0,0.0010033635699433104,0.00010990878335849052,0.0005566361766509004,
27700,250,999068,799444,0,199624,0,0.000952358726890141,0.00011001146285722912,0.0005311850948736851,
27800,250,999681,799818,0,199863,0,0.0011760602426095503,0.00010982314015806476,0.0006429416913838076,
27900,250,999976,799474,0,200502,0,0.0011195827296778126,0.00010999402281764658,0.0006147883762477296,
28000,250,999225,799571,0,199654,0,0.0013033042055559862,0.00011058062308636877,0.0007069424143211775,
28100,250,997903,798370,0,199533,0,0.001213755976547398,0.00011049633719870428,0.0006621261568730512,
28200,250,1000797,800698,0,200099,0,0.001510175886900551,0.0001104314137886612,0.000810303650344606,
28300,250,1000373,800053,0,200320,0,0.001561037805327284,0.00011033106065720175,0.0008356844329922428,
28400,250,1001603,801016,0,200587,0,0.0019218380285750938,0.00011065958926133116,0.0010162488089182126,
28500,250,1000948,800327,0,200621,0,0.00245638523051739,0.00011096201065242238,0.0012836736205849063,
28600,250,999191,799252,0,199939,0,0.002193643354566675,0.00011060884613157952,0.0011521261003491273,
28700,250,999755,799392,0,200363,0,0.003103447679307074,0.0001108643077070522,0.0016071559935070632,
28800,250,998705,797876,0,200829,0,0.0033579907667089905,0.00011096417677783754,0.001734477471743414,
28900,250,998753,798474,0,200279,0,0.00415270319226461,0.00011110249622090507,0.0021319028442427575,
29000,250,999700,799789,0,199911,0,0.011389287567905628,0.00011182280340610712,0.0057505551856558675,
29100,250,998965,799049,0,199916,0,0.013480006065430141,0.0001112573745225407,0.0067956317199763415,
29200,250,999605,800163,0,199442,0,0.018530460612052,0.00011141300271068958,0.009320936807381346,
29300,250,1000814,775103,25651,200060,0,0.11937431252589428,0.00011156522225537848,0.05974293887407483,
29400,250,997973,758975,39034,199964,0,0.14997189745296022,0.00011150383659995086,0.07504170064478008,
29500,250,1000073,690733,109233,200107,0,0.21696328050283764,0.00011118476198217008,0.1085372326324099,
29600,250,1000237,595038,205244,199955,0,0.29949881816943125,0.0001116537396276437,0.14980523595452944,
29700,250,1000844,552028,248840,199976,0,0.32187471542985496,0.00011146801889690842,0.16099309172437593,
29800,250,997581,517080,280984,199517,0,0.32042720122628005,0.00011178886017321913,0.16026949504322663,
29900,250,1001218,395824,405175,200219,0,0.3710073458339018,0.00011206022258455984,0.1855597030282432,
30100,250,999175,348639,450751,199785,0,0.3118490833396183,0.00011177851364482394,0.15598043092663155,
30200,250,999651,288838,510741,200072,0,0.3396117087506468,0.0001121237352931671,0.16986191624296998,
30300,250,1000210,279303,521431,199476,0,0.3310069689052036,0.00011174963821546326,0.16555935927170953,
30400,250,1000525,253630,546922,199973,0,0.3429820528013517,0.0001121117164672356,0.17154708225890947,
30500,250,1000737,227308,573992,199437,0,0.3522717227285958,0.00011269255218985329,0.17619220764039284,
30600,250,999873,227250,571699,200924,0,0.34994299250909006,0.00011268770043969134,0.17502784010476488,
30700,250,999956,224220,576322,199414,0,0.33431531858701113,0.00011245945055191357,0.16721388901878154,
30800,250,1000178,195252,605019,199907,0,0.339095623185329,0.00011219711800582958,0.1696039101516674,
30900,250,1001905,176594,624424,200887,0,0.33219123451469695,0.00011238875396818286,0.16615181163433257,
31000,250,999076,181114,617480,200482,0,0.3456816366749422,0.00011233852680589617,0.17289698760087407,
31100,250,998877,166458,632984,199435,0,0.3303423165895588,0.00011248461228040378,0.16522740060091962,
31200,250,1000032,153189,646813,200030,0,0.3344197574106202,0.00011260142926652287,0.16726617941994334,
31300,250,999484,153968,645558,199958,0,0.3411568612093565,0.00011197004374570523,0.1706344156265511,
31400,250,1000232,135733,664893,199606,0,0.33887784051205583,0.00011271343781052537,0.1694952769749332,
31500,250,1000596,134479,666232,199885,0,0.3459214102367653,0.00011234433572794782,0.17301687728624662,
31600,250,1000863,128478,672276,200109,0,0.3521900545134977,0.00011220213233473285,0.17615112832291624,
31700,250,1001890,126153,676333,199404,0,0.3345676431682433,0.00011224435953753515,0.16733994376389041,
31800,250,1001876,119298,682038,200540,0,0.34471792945663265,0.00011249682768909871,0.17241521314216088,
31900,250,999989,119547,680577,199865,0,0.32787993473318194,0.00011283314431381435,0.16399638393874788,
32000,250,1001139,113193,687474,200472,0,0.3397533691831918,0.00011305554640741796,0.1699332123647996,
32100,250,999310,109033,689829,200448,0,0.34528929490641685,0.00011252299016562236,0.17270090894829124,
