Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate
8000,1000641,1000641,0.000101317654212,0.005534452416001,0.000101317654212,0.005534452416001
9000,1001697,1001697,0.000102394166442,0.005567551864486,0.000102394166442,0.005567551864486
10000,99769,99769,0.000103249612544,0.005392456574688,0.000103249612544,0.005392456574688
10100,100374,100374,0.000103623163534,0.005917867176759,0.000103623163534,0.005917867176759
10200,100493,100493,0.00010366805505,0.005980516055845,0.00010366805505,0.005980516055845
10300,100023,100023,0.000103779657863,0.005368765184008,0.000103779657863,0.005368765184008
10400,99410,99410,0.000103662693716,0.005834423096268,0.000103662693716,0.005834423096268
10500,100111,100111,0.000104464943506,0.005533857418266,0.000104464943506,0.005533857418266
10600,100617,100617,0.00010458071634,0.005515966486777,0.00010458071634,0.005515966486777
10700,100537,100537,0.000104445603308,0.005629768145061,0.000104445603308,0.005629768145061
10800,100378,100378,0.000103896871763,0.005698459821873,0.000103896871763,0.005698459821873
10900,100056,100056,0.000104701181743,0.005796753817862,0.000104701181743,0.005796753817862
11000,100168,100168,0.000104513985059,0.005311077389985,0.000104513985059,0.005311077389985
11100,99936,99936,0.000104693862214,0.005863752801793,0.000104693862214,0.005863752801793
11200,100141,100141,0.000105054716207,0.005392396720624,0.000105054716207,0.005392396720624
11300,99409,99409,0.000104791057635,0.00548240098985,0.000104791057635,0.00548240098985
11400,99857,99857,0.000105272811849,0.005517890583534,0.000105272811849,0.005517890583534
11500,99672,99672,0.000105653368509,0.005227145035717,0.000105653368509,0.005227145035717
11600,100174,100174,0.000105327407981,0.005730029748238,0.000105327407981,0.005730029748238
11700,100490,100490,0.000106072496515,0.005930938401831,0.000106072496515,0.005930938401831
11800,100186,100186,0.00010652520733,0.005439881819815,0.00010652520733,0.005439881819815
11900,99900,99900,0.000105980767228,0.005755755755756,0.000105980767228,0.005755755755756
12000,99454,99454,0.000106350532847,0.005500030164699,0.000106350532847,0.005500030164699
12100,99719,99719,0.000106033024789,0.00523470953379,0.000106033024789,0.00523470953379
12200,100226,100226,0.000106472411972,0.005826831361124,0.000106472411972,0.005826831361124
12300,99895,99895,0.000106976665539,0.005495770559087,0.000106976665539,0.005495770559087
12400,100272,100272,0.00010641110247,0.005714456677836,0.00010641110247,0.005714456677836
12500,100303,100303,0.000106955898353,0.005533234300071,0.000106955898353,0.005533234300071
12600,100118,100118,0.000107472619013,0.00555344693262,0.000107472619013,0.00555344693262
12700,99892,99892,0.000107706006653,0.005576022103872,0.000107706006653,0.005576022103872
12800,99812,99812,0.000107689941662,0.005630585500741,0.000107689941662,0.005630585500741
12900,99545,99545,0.000107853104197,0.00585664774725,0.000107853104197,0.00585664774725
13000,100278,100278,0.000107737665748,0.005963421687708,0.000107737665748,0.005963421687708
13100,99617,99617,0.000108074359077,0.005671722697933,0.000108074359077,0.005671722697933
13200,100183,100183,0.000107796881504,0.005669624587006,0.000107796881504,0.005669624587006
13300,99749,99749,0.000107940104888,0.005934896590442,0.000107940104888,0.005934896590442
13400,100113,100113,0.000108373665488,0.005244074196158,0.000108373665488,0.005244074196158
13500,100226,100226,0.000108682973283,0.005836808812085,0.000108682973283,0.005836808812085
