Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,998447,798935,0.00041591051925576303,0.023036917896950317,99868,0.00042916869896596,0.013627988945407938,99644,0.0004397180891846177,0.005579864316968408,0.0004196126180044086,0.020353609155017743,
500,1000637,800766,0.00041816637288832355,0.023197788117877132,100309,0.00043241170218325794,0.014196133946106531,99562,0.00044107949513874265,0.0057451638175207405,0.0004218742220021814,0.02055890397816591,
1000,999479,800226,0.00042283855509775377,0.023202195379805206,99782,0.00043205278848717935,0.014421438736445451,99471,0.00044393727841666265,0.0060218556162097495,0.0004258582541042507,0.020615740800957297,
1500,1000374,800424,0.00042801852475644956,0.0238673503043387,99835,0.00044003576002414835,0.014604096759653427,100115,0.0004498311876115616,0.006292763322179494,0.00043140077521946487,0.021184077155143977,
2000,1001017,800427,0.00043515605973806445,0.02407215148914267,100067,0.00044537335581966463,0.01482007055272967,100523,0.0004611477874387511,0.0064363379525083815,0.00043878754712604163,0.021376260343230934,
2500,1000649,800973,0.00044093697797366457,0.024302941547343044,99880,0.00045334882480895547,0.01474769723668402,99796,0.0004692446994547411,0.005952142370435689,0.000444999034333931,0.0215190341468387,
3000,999864,800374,0.0004523402406223687,0.024975823802372392,99907,0.00046482840590529064,0.015454372566486832,99583,0.00047614863735670764,0.0062761716357209564,0.0004559592995152829,0.022162014033908613,
3500,999100,799270,0.00046548358264946946,0.025394422410449535,99966,0.0004768204378756385,0.01610547586179301,99864,0.0004928720674474,0.006548906512857486,0.000469355491082458,0.022581323190871784,
4000,998463,799401,0.00048154264233335036,0.026893886797739807,99769,0.0004970620944208535,0.016006976114825246,99293,0.0005097600408380445,0.006344858147099997,0.0004858994891719819,0.02376252299784769,
4500,1000067,799328,0.0005011997817983851,0.027634462948877055,100724,0.0005164057961005463,0.01635161431237838,100015,0.0005332096751617949,0.007458881167824827,0.0005059325447725777,0.024480359815892336,
5000,1000414,800076,0.0005210663559982008,0.02893975072368125,100105,0.0005373889745056803,0.017871235203036812,100233,0.0005484590105149776,0.007452635359612104,0.0005254441672502241,0.025679368741341083,
5500,999287,798639,0.0005550997304861764,0.03058828832551378,100464,0.0005739125164279368,0.017558528428093644,100184,0.0005891486347832008,0.007835582528148208,0.0005604046760673124,0.026997249038564496,
6000,1001499,800622,0.0005938364038136029,0.032934393509046714,101027,0.0006117734089990485,0.019311669157749907,99850,0.0006308142373864529,0.008602904356534801,0.0005993325236351182,0.029134327642863347,
6500,1000548,800154,0.0006439719886412537,0.035918085768489566,100046,0.0006693722624945931,0.021640045579033644,100348,0.0006885511520793821,0.009048511181089807,0.0006509827724223415,0.03179557602433866,
7000,999546,798971,0.0007019744093156726,0.03925674398695322,100404,0.0007280144438040232,0.024132504681088403,100171,0.0007573493835435929,0.010272434137624662,0.0007101396064813345,0.03483281409760031,
7100,998493,798610,0.0007259943590270718,0.040476578054369466,100068,0.0007529610856744474,0.025292800895391133,99815,0.0007789045371134938,0.010158793768471673,0.0007339861384665319,0.03592413767547695,
7200,999412,799216,0.0007398419675807945,0.04140182378731157,99864,0.0007660489863746394,0.025905231114315468,100332,0.0007922981422632209,0.011541681617031455,0.0007477267744903255,0.03685567113462716,
7300,1000324,799888,0.0007509591926497432,0.04219465725201528,100289,0.0007818966444075577,0.025376661448414082,100147,0.0008074421460399747,0.01036476379721809,0.000759715639993292,0.037321907701904584,
7400,1002081,801475,0.0007857196739570783,0.04396394148289092,100358,0.000818634488578656,0.027461687159967316,100248,0.0008473805707605304,0.011102465884606177,0.0007951846239446941,0.0390237914899095,
7500,999319,799588,0.0008030346506009291,0.045004427280049226,99640,0.0008368999434411011,0.026967081493376153,100091,0.0008701233412414386,0.011949126295071485,0.000813130838018087,0.03989516860982329,
7600,1001319,799936,0.0008290332373978846,0.04676874149931995,100582,0.0008597209540539363,0.02866318029070808,100801,0.0008920627869123849,0.011765756292100277,0.0008384608758799995,0.04142635863296312,
7700,1001164,800277,0.0008598356277735502,0.04787717252901183,100273,0.0008927133062246727,0.030436907243225994,100614,0.0009295431822247282,0.012692070685988033,0.000870133939873167,0.04259442009500941,
7800,1001748,801210,0.0008982691723109565,0.05102407608492156,100366,0.0009380575529516785,0.031136042085965366,100172,0.000979607758762129,0.013426905722157888,0.0009103892359331073,0.04527186478036392,
7900,998912,799085,0.0009205666682319043,0.05194190855791311,99911,0.0009581348949356304,0.03211858554113161,99916,0.001001256329106187,0.013421273870050843,0.0009323952049339368,0.046106163505894415,
8000,1001446,800700,0.0009740546748429998,0.05533408267765705,100803,0.0010282545553203506,0.03444341934267829,99943,0.0010771017787391166,0.014488258307235125,0.0009897942626554616,0.04915492198281285,
