Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
5000,1001938,1001938,9.863842088304632e-05,0.00530671558519589,9.863842088304631e-05,0.00530671558519589,
5500,1000647,1000647,9.909306362629489e-05,0.005234613205256199,9.909306362629489e-05,0.005234613205256199,
6000,999850,999850,9.959103406325877e-05,0.005341801270190529,9.959103406325878e-05,0.005341801270190529,
6500,1001486,1001486,9.998425587723083e-05,0.005462882157114528,9.998425587723083e-05,0.005462882157114528,
7000,1001412,1001412,0.0001003967605047976,0.005356436711363555,0.0001003967605047976,0.005356436711363555,
7500,1000887,1000887,0.0001009441028215516,0.005381226851782469,0.00010094410282155158,0.005381226851782469,
30000,1000002,1000002,0.00034880063393539265,0.018972962054075893,0.00034880063393539265,0.018972962054075893,
30100,998776,998776,0.0003515796531550176,0.01924755901223097,0.0003515796531550176,0.01924755901223097,
30200,1002215,1002215,0.00037595262866361187,0.020270101724679836,0.00037595262866361187,0.020270101724679836,
30300,999895,999895,0.0003838431174252759,0.020630166167447582,0.0003838431174252759,0.020630166167447582,
30400,999789,999789,0.0003933313907764133,0.02137551023265909,0.0003933313907764133,0.02137551023265909,
30500,999604,999604,0.00041106950764763055,0.022429882233364413,0.00041106950764763055,0.022429882233364413,
30600,1001077,1001077,0.00043180730373105635,0.02337482531313775,0.00043180730373105635,0.02337482531313775,
30700,998331,998331,0.00043817189299842564,0.024018086185844174,0.00043817189299842564,0.024018086185844174,
30800,999541,999541,0.0004743858195327881,0.026072967492078863,0.0004743858195327881,0.026072967492078863,
30900,998533,998533,0.00048435472460691336,0.02639171664832309,0.00048435472460691336,0.02639171664832309,
31000,999452,999452,0.0005236265426379812,0.028839804212708563,0.0005236265426379813,0.028839804212708563,
31100,999061,999061,0.0005589914370515193,0.0306377688649642,0.0005589914370515194,0.0306377688649642,
31200,998856,998856,0.0005586482532362837,0.030357729242253138,0.0005586482532362837,0.030357729242253138,
31300,1000206,1000206,0.0006564563996122188,0.03630552106266109,0.0006564563996122188,0.03630552106266109,
31400,998933,998933,0.0006786518131132824,0.03746097085590325,0.0006786518131132824,0.03746097085590325,
31500,1000361,1000361,0.000726702642906719,0.04012451505006693,0.000726702642906719,0.04012451505006693,
31600,999427,999427,0.0008001172759009318,0.04468860657156551,0.0008001172759009318,0.04468860657156551,
31700,1001455,1001455,0.0008876751184652638,0.04929527537433035,0.0008876751184652637,0.04929527537433035,
31800,1000125,1000125,0.0010200887554168748,0.05742682164729409,0.0010200887554168748,0.05742682164729409,
31900,1000875,1000875,0.0010962222304311258,0.06193081054077682,0.001096222230431126,0.06193081054077682,
32000,1001695,1001695,0.0013854362771977926,0.07915083932734016,0.0013854362771977924,0.07915083932734016,
32100,999567,999567,0.0017001779002607164,0.09959412425580276,0.0017001779002607164,0.09959412425580276,
32200,998206,998206,0.0018598991186812703,0.11121351704958696,0.0018598991186812703,0.11121351704958696,
32300,1000445,1000445,0.0025305224551926686,0.1551449604925808,0.0025305224551926686,0.1551449604925808,
32400,999235,999235,0.0042750283382532615,0.31722767917456857,0.0042750283382532615,0.31722767917456857,
32500,1000256,1000256,0.004709233338510141,0.7113508941710922,0.004709233338510141,0.7113508941710922,
32600,999519,999519,0.0016961443197690204,0.9002230072664952,0.0016961443197690204,0.9002230072664952,
32710,1001677,1001677,0.0006757398732645187,0.940702442004758,0.0006757398732645187,0.940702442004758,
32720,998384,998384,0.0016505399738358526,0.9033858715684546,0.0016505399738358526,0.9033858715684546,
32730,1000391,1000391,0.0010289137100346426,0.9555633747204842,0.0010289137100346426,0.9555633747204842,
32740,1001320,1001320,0.0010611707074337504,0.9505183158231135,0.0010611707074337504,0.9505183158231135,
32750,999914,999914,0.0015028965055491064,0.9243634952605924,0.0015028965055491066,0.9243634952605924,
32760,998597,998597,0.0012615556195488982,0.9400358703260675,0.001261555619548898,0.9400358703260675,
32770,998670,998670,0.0013380695251159077,0.9565482091181271,0.0013380695251159077,0.9565482091181271,
32780,1000434,1000434,0.0008314879051608607,0.9645283946767103,0.0008314879051608605,0.9645283946767103,
32790,998711,998711,0.0011590377970322112,0.9379740485485791,0.0011590377970322112,0.9379740485485791,
