Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
1400,100424,33341,0.00036883494645261855,0.019825440148765784,33876,0.00038191955416118877,0.011896327783681663,33207,0.0003803780934803277,0.005330201463546843,
1500,99867,33414,0.0003705190335775226,0.020889447536960554,33152,0.00038055643682051037,0.011854488416988418,33301,0.0003870634018800271,0.004684544007687457,
1600,99899,33319,0.0003746595724041448,0.020888982262372822,33351,0.00038333040495626256,0.013402896464873616,33229,0.0003855949224642982,0.005597520238346023,
1700,100067,33548,0.0003686716783332213,0.020597353046381304,33508,0.00038519375273778615,0.012325414826310135,33011,0.0003884427331089658,0.005361849080609494,
1800,99857,33190,0.00037620513262922066,0.020578487496233807,33468,0.0003819640807126853,0.012399904386279432,33199,0.00038683949962297297,0.005723063947709268,
1900,99752,33282,0.00037548417620199905,0.020761973439096207,33066,0.0003826400544052868,0.012369200991955483,33404,0.0003902979755975022,0.005687941563884565,
2000,99889,33226,0.00037531149192060676,0.021158129175946547,33292,0.0003832420232727647,0.012885978613480717,33371,0.00039054397884701774,0.005813430823169818,
2100,99585,33073,0.00037396885427521385,0.021286245577963898,32945,0.0003838173954415487,0.011655789952951889,33567,0.00039437431819092463,0.00542199183722108,
2200,100394,33782,0.0003791125836847155,0.02122432064413001,33086,0.0003822404385170171,0.011454996070845675,33526,0.00039618309798046,0.004891725824733043,
2300,100604,33322,0.0003749432452780574,0.01995678530700438,33841,0.0003827746814098062,0.012824680121745811,33441,0.0003957105718575342,0.005053676624502856,
2400,99742,33313,0.00037761112207637253,0.0203223966619638,33344,0.0003937741165443618,0.01253598848368522,33085,0.0003961877992842754,0.005168505364969019,
2500,99640,33071,0.00038112619486692356,0.01977563424148045,33382,0.00039520906678014586,0.011563117847942004,33187,0.00039628733609690584,0.005725133335342152,
2600,100038,33475,0.0003781179081393385,0.02094100074682599,33432,0.00039182636051154283,0.012742282842785356,33131,0.00039526758162451015,0.004919863571881319,
2700,99661,33269,0.00038274239163436935,0.021251014457903755,33095,0.00038758375746028036,0.012328146245656443,33297,0.0003996328435896275,0.005736252515241613,
2800,100493,33629,0.0003830298318060298,0.022153498468583662,33372,0.0003910128442400834,0.013034879539733908,33492,0.00040407464562230847,0.005523707153947211,
2900,99559,33108,0.0003812792708361868,0.020478434215295396,33266,0.00039219092086016996,0.012324896290506824,33185,0.000401428817009199,0.00533373512128974,
3000,100015,33367,0.00038673825829102986,0.02085893247819702,33525,0.0003974930349097688,0.01366144668158091,33123,0.0004034639579275738,0.005826766899133533,
3100,100144,33250,0.00038687679124448413,0.020962406015037596,33531,0.0004001146949723855,0.013390593778891175,33363,0.00041239293202306694,0.005485118244762162,
3200,100438,33410,0.0003848807715615596,0.020862017360071834,33336,0.00039926620868388875,0.01292896568274538,33692,0.00040805368886915537,0.005609640270687404,
3300,100097,33466,0.00038539825242649357,0.02148449172294269,33261,0.0003989043022208588,0.012717597185893388,33370,0.00040991237090328624,0.006113275397063231,
3400,100514,33656,0.00039573063351219784,0.021244354647016878,33529,0.0004046753876399777,0.012556294550985714,33329,0.0004084677637578196,0.005460709892285997,
3500,100288,33065,0.00039731944113429693,0.022349916830485407,33355,0.0004037852345328146,0.01385099685204617,33868,0.00041340381664751514,0.0058757529231132635,
3600,100067,33264,0.00038872520347032607,0.022817460317460316,33300,0.0004041264447820975,0.013513513513513514,33503,0.00040954352566187433,0.005611437781691192,
3700,100135,33206,0.0003911545223555763,0.021803288562308017,33497,0.00040784416321389317,0.012627996537003314,33432,0.00042275169536212163,0.005234505862646567,
3800,100421,33463,0.00039870449898951377,0.0233690942234707,33609,0.0004086702347939235,0.01374631795054896,33349,0.00041993869236636565,0.005337491379051845,
3900,100003,33110,0.00040152212431666267,0.023044397463002114,33450,0.00040764608051547195,0.012645739910313902,33443,0.00041525597481744254,0.00535239063481147,
4000,99747,33501,0.00040231716171500816,0.022208292289782394,33301,0.00041168757332798355,0.014113690279571184,32945,0.00042355289434726546,0.005979663074821673,
4100,100119,33249,0.0004006291290636994,0.021835243165207976,33374,0.00041298297572303356,0.012854317732366513,33496,0.0004228805741262742,0.005881299259613088,
4200,100499,33502,0.0004093955564922546,0.021759894931645873,33419,0.0004152987188399492,0.014632394745504054,33578,0.0004214490189775521,0.005479778426350587,
4300,99706,33312,0.00040628488463549455,0.02287463976945245,33157,0.0004231031745438812,0.014808336097958199,33237,0.0004349579646704502,0.006498781478472786,
4400,100122,33390,0.0004170642636358271,0.02330038933812519,33433,0.0004287594954875808,0.013429844764155176,33299,0.00043955183272843075,0.005856031712664044,
4500,99592,33001,0.0004105309125253658,0.024059876973425046,33407,0.00042477519419580615,0.014098841560152064,33184,0.00043061366246074646,0.005936595949855352,
4600,99590,33147,0.0004129839856152336,0.021992940537605213,33114,0.0004206123786470659,0.013136437760463852,33329,0.0004333223347252815,0.005490713792793063,
4700,100193,33436,0.00041749525981126656,0.0236870439047733,33569,0.0004372299832462654,0.014030802228246299,33188,0.0004426341772568434,0.005664698083644691,
