Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,998911,100318,0.00044552990135427,0.025349388943160748,798671,0.00046111291198649306,0.015301669899119913,99922,0.00047483969096336564,0.005944636816717039,0.00046092105380125304,0.015374743095230707,
500,998991,100051,0.0004481324533198508,0.02501724120698444,799097,0.00046488765421131065,0.015214673562783993,99843,0.00047485382395671244,0.006530252496419378,0.0004642056437442486,0.015328466422620424,
1000,1001339,100202,0.0004512428051805775,0.025199097822398753,801051,0.0004681538415704519,0.015348585795411278,100086,0.0004846112865735929,0.0064544491737106085,0.00046810654507270196,0.01544531871823628,
1500,1000932,99610,0.0004524797107632186,0.02474651139443831,801183,0.0004758771992744304,0.015474616910243977,100139,0.0004906864545126113,0.006550894256982794,0.00047503034871883716,0.01550454975962403,
2000,1000046,100544,0.00046094813617544004,0.02490451941438574,799502,0.0004848871692070092,0.01588113600716446,100000,0.0005066507607497354,0.00646,0.0004846566128297486,0.01584627107153071,
2500,999206,99799,0.00046337827370282865,0.026032324973196123,799255,0.000492935662594702,0.01593609048426347,100152,0.0005204843145954954,0.0065400591101525685,0.000492744765763785,0.016002706148682055,
3000,998643,99436,0.00046837048276490706,0.02614747174061708,799864,0.0005067419230540958,0.0164715501635278,99343,0.0005467940975728374,0.007227484573648873,0.0005069055457266908,0.01651541141328783,
3500,999580,100231,0.0004680921322545612,0.026399018267801378,799192,0.0005249160860540831,0.017380053854392938,100157,0.0005829870557216119,0.007737851573030342,0.0005250368291619096,0.017318273674943475,
4000,998818,99824,0.00047360288430638815,0.02640647539669819,798877,0.0005442323923623462,0.01771236373058681,100117,0.0006391076027909347,0.008989482305702328,0.0005466833908728822,0.0177069295907763,
4500,1000756,100565,0.00048073320633938406,0.025834037687068066,800578,0.0005692254084553287,0.0186365351033878,99613,0.0006995476669592398,0.009075120717175469,0.0005733048971923999,0.018408083488882405,
5000,1000334,99743,0.00048658332014553173,0.026828950402534513,800957,0.0006084877845102354,0.01990993274295624,99634,0.0008224111717635098,0.01127125278519381,0.0006176396535624709,0.01973940703804929,
5500,1001429,100060,0.0004901153186153395,0.02684389366380172,801472,0.0006445651578812825,0.021374421065239957,99897,0.0009866659078014602,0.013283682192658438,0.00066325903203295,0.021113828339303135,
6000,999620,100313,0.0004926015234863781,0.027274630406826633,799280,0.0007063749515735453,0.02336853167851066,100027,0.0012655689491705715,0.017595249282693674,0.000740878306954508,0.02318280946759769,
6500,1000499,99704,0.0004991674577594328,0.027401107277541522,801059,0.0007640212414718524,0.02527279513743682,99736,0.0016209303408261254,0.022719980749177828,0.0008230494906574338,0.02523041002539733,
7000,1000169,99371,0.0005085946345747712,0.028197361403226293,800712,0.0008633561669290896,0.02867947526701236,100086,0.0023468266519024363,0.033641068680934395,0.0009765586544361618,0.029128077354927017,
7100,1000280,99611,0.000505360040462145,0.028209735872544196,800251,0.0008931396527405593,0.02998684162843908,100418,0.0026657799519568676,0.03838953175725467,0.0010324785164667512,0.030653417043227896,
